question,answer,correct_answer,context
"BLINK have two different versions, bi-encoding version and cross-encoding version. Is this true?","Sure! Here's my answer:

Overfitting refers to a model that is too complex and learns the noise in the training data, rather than the underlying patterns","BLINK model is a two-stage method using two encoders: bi-encoder and cross-encoder. With the qualitative analysis, the authors compared the BLINK with its bi-encoding version which uses a bi-encoder for candidate ranking instead of a cross-encoder, and showed that the cross-encoding version utilizing context information better than the bi-encoding version. Therefore we can say that BLINK has two different versions.","As expected, the cross-encoder performs better than the bi-encoder on ranking. However, both models exceed state-of-the-art performance levels, demonstrating that the overall approach is highly effective. We observe that our model also performs well when we change the underlying Knowledgebase to full Wikipedia, and even without fine-tuning on the dataset. In Table 5 we show that our bi-encoder model is highly effective at retrieving relevant entities, where the underlying Knowledgebase is full Wikipedia. In the first example, we see that the bi-encoder mistakenly links “Ronaldo” to the Brazilian football player, while the cross-encoder is able to use context word “Juventus” to disambiguate. In the second example, the cross-encoder is able to identify from context that the sentence is describing art instead of fiction, where the bi-encoder failed. In the third example, the bi-encoder is able to find the correct entity “Ancient Greek,”; where the cross-encoder mistakenly links it to the entity “Ancient Greek philosophy,” likely because that the word “philosophers” is in context. We observe that cross-encoder is often better at utilizing context information than bi-encoder, but can sometimes make mistakes because of misleading context cues. Figure 1 shows our overall approach. The bi-encoder uses two independent BERT transformers to encode model context/mention and entity into dense vectors, and each entity candidate is scored as the dot product of these vectors. The candidates retrieved by the bi-encoder are then passed to the cross-encoder for ranking. The cross-encoder encodes context/mention and entity in one transformer, and applies an additional linear layer to compute the final score for each pair. After training our model on Wikipedia, we fine-tune the model on the TACKBP-2010 training dataset. We use the top 100 candidates retrieved by the bi-encoder as training examples for the cross-encoder, and chose hyper-parameters based on cross validation. We report accuracy results in Table 4. For ablation studies, we also report the following versions of our model:"
Using cross-encoder is time-consuming but accurate. Is this true?,"Using note-based representation over grid-based representations allows for more explicit and detailed modeling of chord progressions and melodic structures, rather than aggregating notes within a fixed time grid","Since the cross-encoder has large memory consumption and compute footprint, it is time-consuming and not suitable for tasks that require fast inference. However, it is relatively accurate compared to the bi-encoder, which is the reason the author utilized knowledge distillation so that they can obtain some accuracy gain from the cross-encoder. Therefore, we can say that using a cross-encoder is time-consuming but accurate.","Due to its larger memory and compute footprint, we use the cross-encoder in a re-ranking stage, over a small set (≤100)\leq 100)≤ 100 ) of candidates retrieved with the bi-encoder. The cross-encoder is not suitable for retrieval or tasks that require fast inference. Finally, we do an extensive evaluation of the accuracy-speed trade-off inherent in our bi- and cross-encoder models.We show that the two stage methods scales well in a full Wikipedia setting, by linking against all the 5.9M Wikipedia entities for TACKBP-2010, while still outperforming existing model with much smaller candidate sets.We also show that bi-encoder linking is very fast with approximate nearest neighbor search (e.g. linking over 5.9 million candidates in 2 milliseconds), and that much of the accuracy gain from the more expensive cross-encoder can be transferred to the bi-encoder via knowledge distillation.We release our code and models, as well as a system to link entity mentions to all of Wikipedia (similar to TagME Ferragina and Scaiella (2011)).111Our code and models are available at https://github.com/facebookresearch/BLINK"
When does cross-encoder powerful? Give an example.,"Sure! Here's my answer:

To test the effectiveness of different methods for improving memory","Cross-encoder exerts its power for the cases requiring disambiguation with the given context. Table 8 shows some examples where the cross-encoder can accurately identify and linked entities through the context while the bi-encoder failed.
For example, the cross-encoder links ""Ronaldo"" to a corret person with the context of ""Juventus"", while the bi-encoder links to another football player that are Brazilian. Another example shows that the cross-encoder can identify that the sentence is describing gothic art instead of gothic fiction.","Table 8 presents some examples from our bi-encoder and cross-encoder model predictions, to provide intuition for how these two models consider context and mention for entity linking. In the first example, we see that the bi-encoder mistakenly links “Ronaldo” to the Brazilian football player, while the cross-encoder is able to use context word “Juventus” to disambiguate. In the second example, the cross-encoder is able to identify from context that the sentence is describing art instead of fiction, where the bi-encoder failed. In the third example, the bi-encoder is able to find the correct entity “Ancient Greek,”; where the cross-encoder mistakenly links it to the entity “Ancient Greek philosophy,” likely because that the word “philosophers” is in context. We observe that cross-encoder is often better at utilizing context information than bi-encoder, but can sometimes make mistakes because of misleading context cues."
They said that cross-encoder make mistakes sometimes. Give an example. This is provided on the paper.,"Patch extraction/representation, non-linear mapping, and reconstruction","In the third example of Table 8, the cross-encoder linked the mention to the wrong entity ""Ancient Greek philosophy"", which is likely because of a word ""philosophers"" in the context.","Table 8 presents some examples from our bi-encoder and cross-encoder model predictions, to provide intuition for how these two models consider context and mention for entity linking. In the first example, we see that the bi-encoder mistakenly links “Ronaldo” to the Brazilian football player, while the cross-encoder is able to use context word “Juventus” to disambiguate. In the second example, the cross-encoder is able to identify from context that the sentence is describing art instead of fiction, where the bi-encoder failed. In the third example, the bi-encoder is able to find the correct entity “Ancient Greek,”; where the cross-encoder mistakenly links it to the entity “Ancient Greek philosophy,” likely because that the word “philosophers” is in context. We observe that cross-encoder is often better at utilizing context information than bi-encoder, but can sometimes make mistakes because of misleading context cues."
What TACKBP-2010 means?,"FID, Precision, Recall, and IS","TACKBP-2010 is the dataset for evaluating entity linking systems that are widely used in research in this field like ""Khalife and Vazirgiannis (2018)"" and ""Raiman and Raiman (2018)"". This dataset is made in 2010 and contains the entities in the TAC Reference Knowledge Base which contains 818,741 entities with titles, descriptions, and other meta information. This paper also used the TACKBP-2010 for fine-tuning the model. While it is likely that TACKB and 2010 are from the name of the knowledge base and when the dataset was made, it is not clear what P stands for in TACKBP-2010.","is widely used for evaluating entity linking systems Ji et al. (2010).444https://tac.nist.gov Following prior work, we measure in-KB accuracy (P@1). There are 1,074 and 1,020 annotated mention/entity pairs derived from 1,453 and 2,231 original news and web documents on training and evaluation dataset, respectively. All the entities are from the TAC Reference Knowledgebase which contains 818,741 entities with titles, descriptions and other meta info. After training our model on Wikipedia, we fine-tune the model on the TACKBP-2010 training dataset. We use the top 100 candidates retrieved by the bi-encoder as training examples for the cross-encoder, and chose hyper-parameters based on cross validation. We report accuracy results in Table 4. For ablation studies, we also report the following versions of our model:1.bi-encoder only: we use bi-encoder for candidate ranking instead of cross-encoder.2.Full Wikipedia: we use 5.9M Wikipedia articles as our entity Knowlegebase, instead of TACKBP Reference Knowledgebase.3.Full Wikipedia w/o finetune: same as above, without fine-tuning on the TACKBP-2010 training set. There are however many other cues that could potentially be added in future work. For example, Khalife and Vazirgiannis (2018) report 94.57\% precision on the TACKBP-2010 dataset. However, their method is based on the strong assumption that a gold fine-grained entity type is given for each mention (and they do not attempt to do entity type prediction). Indeed, if fine-grained entity type information is given by an oracle at test time, then Raiman and Raiman (2018) reports 98.6\% accuracy on TACKBP-2010, indicating that improving fine-grained entity type prediction would likely improve entity linking. Our results is achieved without gold fine-grained entity type information. Instead, our model learns representations of context, mention and entities based on text only."
Why author emphasized their model as “Zero-shot”?,"No, it cannot be generated by video interpolation alone. While video interpolation can be used to create smooth transitions between frames, it cannot generate new content or motion consistent with the text prompt. Make-A-Video's approach combines spatial and spatiotemporal super-resolution networks, frame interpolation, and prior knowledge to generate high-quality videos that are semantically consistent with the input text","In the zero-shot settings, the set of documents/mentions/entities from training data is not visible in test data, which means the information of the entity that should be linked at test time is not learned directly from the training set. This setting is related to scalability, which is important for the entity linking tasks since there can be lots of possible entity candidates for each mention. The proposed BERT-based models can deal with these settings and show their accuracy and efficiency in scale.","Scale is a key challenge for entity linking; there are millions of possible entities to consider for each mention. To efficiently filter or rank the candidates, existing methods use different sources of external information, including manually curated mention tables Ganea and Hofmann (2017), incoming Wikipedia link popularity Yamada et al. (2016), and gold Wikipedia entity categories Gillick et al. (2019). In this paper, we show that BERT-based models set new state-of-the-art performance levels for large scale entity linking when used in a zero shot setup, where there is no external knowledge and a short text description provides the only information we have for each entity. We also present an extensive evaluation of the accuracy-speed trade-off inherent to large pre-trained models, and show is possible to achieve very efficient linking with modest loss of accuracy. Two recent results are most closely related to our work. Logeswaran et al. (2019) proposed the zero-shot entity linking task. They use cross-encoders for entity ranking, but rely on traditional IR-techniques for candidate generation and did not evaluate on large scale benchmarks such as TACKBP.Gillick et al. (2019) show that dense embeddings work well for candidate generation, but they did not do pre-training and included external category labels in their bi-encoder architectures, limiting their linking to entities in Wikipedia. Our approach can be seen as generalizing both of these lines of work, and showing for the first time that pre-trained zero-shot architectures are both highly accurate and computationally efficient at scale. We also study zero-shot entity linking Logeswaran et al. (2019). Here the document setup is the same, but the knowledge base is separated in training and test time. Formally, denote \mathcal{E}_{train} and \mathcal{E}_{test} to be the knowledge base in training and test, we require \mathcal{E}_{train}\cap\mathcal{E}_{test}=\emptyset.The set of text documents, mentions, and entity dictionary are separated in training and test so that the entities being linked at test time are unseen."
How we can say Wikia dataset is zero-shot dataset?,"Greater discriminative power due to additional non-linearities and better quality of local optima, despite the reduction in element-wise multiplications and trainable parameters","In the Wikia dataset, entities in the validation and test sets are from different domains than the train set. This setting allows the model evaluation can be done in a zero-shot setting since the set of entities are separated in training and test so that the model can't see the entities when linked at the test time.","was constructed by Logeswaran et al. (2019) from Wikia.333https://www.wikia.com.The task is to link entity mentions in text to an entity dictionary with provided entity descriptions, in a set of domains. There are 49K, 10K, and 10K examples in the train, validation, test sets respectively.The entities in the validation and test sets are from different domains than the train set, allowing for evaluation of performance on entirely unseen entities. The entity dictionaries cover different domains and range in size from 10K to 100K entities. We also study zero-shot entity linking Logeswaran et al. (2019). Here the document setup is the same, but the knowledge base is separated in training and test time. Formally, denote \mathcal{E}_{train} and \mathcal{E}_{test} to be the knowledge base in training and test, we require \mathcal{E}_{train}\cap\mathcal{E}_{test}=\emptyset.The set of text documents, mentions, and entity dictionary are separated in training and test so that the entities being linked at test time are unseen."
How BLINK can achieved zero-shot linking?,"The author referred to selecting only the most difficult negative examples, or those with the highest confidence loss, for training to address the imbalance issue in object detection",The BLINK model used a two-stage approach for entity linking based on fine-tuned BERT architectures that first encode the mention context and entity text with the bi-encoder for the candidate retrieval and utilize the cross-encoder to score and rank them. These pre-trained architectures are simple yet scalable and effective for entity link tasks without the help of task-specific heuristics or external knowledge. The authors showed that BLINK can achieve state-of-the-art performance for the large-scale entity linking on the dataset with a zero-shot setup. (WikilinksNED Unseen-Mentions and TACKBP-201),"Scale is a key challenge for entity linking; there are millions of possible entities to consider for each mention. To efficiently filter or rank the candidates, existing methods use different sources of external information, including manually curated mention tables Ganea and Hofmann (2017), incoming Wikipedia link popularity Yamada et al. (2016), and gold Wikipedia entity categories Gillick et al. (2019). In this paper, we show that BERT-based models set new state-of-the-art performance levels for large scale entity linking when used in a zero shot setup, where there is no external knowledge and a short text description provides the only information we have for each entity. We also present an extensive evaluation of the accuracy-speed trade-off inherent to large pre-trained models, and show is possible to achieve very efficient linking with modest loss of accuracy. More specifically, we introduce a two stage approach for zero-shot linking (see Figure 1 for an overview), based on fine-tuned BERT architectures Devlin et al. (2019). In the first stage, we do retrieval in a dense space defined by a bi-encoder that independently embeds the mention context and the entity descriptions Humeau et al. (2019); Gillick et al. (2019).Each retrieved candidate is then examined more carefully with a cross-encoder that concatenates the mention and entity text, following Logeswaran et al. (2019). This overall approach is conceptually simple but highly effective, as we show through detailed experiments. We proposed a conceptually simple, scalable, and highly effective two stage approach for entity linking. We show that our BERT-based model outperforms IR methods for entity retrieval, and achieved new state-of-the-art results on recently introduced zero-shot entity linking dataset, WikilinksNED Unseen-Mentions dataset, and the more established TACKBP-2010 benchmark, without any task-specific heuristics or external entity knowledge. We present evaluations of the accuracy-speed trade-off inherent to large pre-trained models, and show that it is possible to achieve efficient linking with modest loss of accuracy.Finally, we show that knowledge distillation can further improve bi-encoder model performance.Future work includes:•Enriching entity representations by adding entity type and entity graph information;•Modeling coherence by jointly resolving mentions in a document;•Extending our work to other languages and other domains;•Joint models for mention detection and entity linking. Two recent results are most closely related to our work. Logeswaran et al. (2019) proposed the zero-shot entity linking task. They use cross-encoders for entity ranking, but rely on traditional IR-techniques for candidate generation and did not evaluate on large scale benchmarks such as TACKBP.Gillick et al. (2019) show that dense embeddings work well for candidate generation, but they did not do pre-training and included external category labels in their bi-encoder architectures, limiting their linking to entities in Wikipedia. Our approach can be seen as generalizing both of these lines of work, and showing for the first time that pre-trained zero-shot architectures are both highly accurate and computationally efficient at scale."
Why BLINK valuable?,"The main difference between the ""maximum frequency"" and ""exclusive frequency"" baselines is that the exclusive frequency baseline excludes the placeholder from the frequency count in the context document","The BLINK model can be said to be valuable since the model is simple yet scalable and effective compared to existing works. The proposed BERT-based model can perform entity linking with large-scale and zero-shot setups, which is crucial in real-world use cases that often contain a lot of unseen entities. BLINK also achieved a new state-of-the-art result for two zero-shot benchmarks by using only the provided text description without external knowledge, which shows the effectiveness of the proposed model.","Scale is a key challenge for entity linking; there are millions of possible entities to consider for each mention. To efficiently filter or rank the candidates, existing methods use different sources of external information, including manually curated mention tables Ganea and Hofmann (2017), incoming Wikipedia link popularity Yamada et al. (2016), and gold Wikipedia entity categories Gillick et al. (2019). In this paper, we show that BERT-based models set new state-of-the-art performance levels for large scale entity linking when used in a zero shot setup, where there is no external knowledge and a short text description provides the only information we have for each entity. We also present an extensive evaluation of the accuracy-speed trade-off inherent to large pre-trained models, and show is possible to achieve very efficient linking with modest loss of accuracy. Our two-stage approach achieves a new state-of-the-art result on TACKBP-2010, with an over 30% relative error reduction. By simply reading the provided text descriptions, we are able to outperform previous methods that included many extra cues such as entity name dictionaries and link popularity. We also improve the state of the art on existing zero-shot benchmarks, including a nearly 6 point absolute gain on the recently introduced Wikia corpus Logeswaran et al. (2019) and more than 7 point absolute gain on WikilinksNED Unseen-Mentions Onoe and Durrett (2019). We proposed a conceptually simple, scalable, and highly effective two stage approach for entity linking. We show that our BERT-based model outperforms IR methods for entity retrieval, and achieved new state-of-the-art results on recently introduced zero-shot entity linking dataset, WikilinksNED Unseen-Mentions dataset, and the more established TACKBP-2010 benchmark, without any task-specific heuristics or external entity knowledge. We present evaluations of the accuracy-speed trade-off inherent to large pre-trained models, and show that it is possible to achieve efficient linking with modest loss of accuracy.Finally, we show that knowledge distillation can further improve bi-encoder model performance.Future work includes:•Enriching entity representations by adding entity type and entity graph information;•Modeling coherence by jointly resolving mentions in a document;•Extending our work to other languages and other domains;•Joint models for mention detection and entity linking. Two recent results are most closely related to our work. Logeswaran et al. (2019) proposed the zero-shot entity linking task. They use cross-encoders for entity ranking, but rely on traditional IR-techniques for candidate generation and did not evaluate on large scale benchmarks such as TACKBP.Gillick et al. (2019) show that dense embeddings work well for candidate generation, but they did not do pre-training and included external category labels in their bi-encoder architectures, limiting their linking to entities in Wikipedia. Our approach can be seen as generalizing both of these lines of work, and showing for the first time that pre-trained zero-shot architectures are both highly accurate and computationally efficient at scale."
This paper deals with NIL. It is true?,"A mixed-membership Stochastic Block Model (SMBM) is a variant of the SBM that allows each node to be assigned to multiple clusters, rather than a single cluster as in the standard SBM","Yes, they add new annotations of linked and NIL coreference clusters.","This paper contributes: (i) 2 architectures (Local and Global) for joint entity linking (EL) and corefence resolution,(ii) an extended AIDA dataset (Hoffart et al., 2011), adding new annotations of linked and NIL coreference clusters,(iii) experimental analysis on 2 datasets where our joint coref+EL models achieve up to +5% F1-score on both tasks compared to standalone models. We also show up to+50% in accuracyfor hard cases of ELwhereentity mentionslackthe correct entity in their candidate list."
Is joint model achieved state-of-the-art?,No,"Yes, Joint model achieve superior performance.","This paper contributes: (i) 2 architectures (Local and Global) for joint entity linking (EL) and corefence resolution,(ii) an extended AIDA dataset (Hoffart et al., 2011), adding new annotations of linked and NIL coreference clusters,(iii) experimental analysis on 2 datasets where our joint coref+EL models achieve up to +5% F1-score on both tasks compared to standalone models. We also show up to+50% in accuracyfor hard cases of ELwhereentity mentionslackthe correct entity in their candidate list. We propose two end-to-end models to solve entity linking and coreference resolution tasks in a joint setting.Our joint architectures achieve superior performance compared to the standalone counterparts.Further analysis reveals that this boost in performance is driven by more coherent predictions on the level of mention clusters (linking to the same entity) and extended candidate entity coverage."
Can joint model fit on coreference resolution task?,"BERTSum is a specific extractive summarization model that leverages the contextualized representations from BERT to predict the most representative sentences for a given document. It differs from just using BERT as a feature extractor, as it includes a binary classifier to select the most relevant sentences for the summary","Yes, Joint model achieve superior performance on coreference resolution task.","Table 2 shows the results of our compared models for EL andcoreference resolutiontasks.Answering (Q1), we observe a general improvement in performance of our coref+EL joint models (Local and Global) compared to Standalone on the EL task.Furthermore, this difference is bigger when using our cluster-level hard metrics.This also answers (Q2) by indicating that the joint models tend to produce more coherent cluster-based predictions.To make this more explicit, Table 3 compares the accuracy for singleton clusters (i.e., clusters composed by a single entity mention), denoted as S, to that of clusters composed by multiple mentions, denoted as M.We observe that the difference in performance between our joint models andStandalone is bigger on M clusters (with a consistentsuperiorityof Global), indicating that our approach indeed produces more coherent predictions for mentions that refer to the same concept. We propose two end-to-end models to solve entity linking and coreference resolution tasks in a joint setting.Our joint architectures achieve superior performance compared to the standalone counterparts.Further analysis reveals that this boost in performance is driven by more coherent predictions on the level of mention clusters (linking to the same entity) and extended candidate entity coverage."
What is maximum spanning tree problem?,"Facial expressions, speech patterns, and body language are used to judge personality traits","They lead to a maximum spanning tree problem in their global approach by proposing bidirectional connections between mentions. However, we cannot know maximum spanning tree only with this information.","To solve EL in the general case, evenwhen the first mention does not have the correct entity, we propose bidirectional connections between mentions, thus leading to a maximum spanning tree problem in our Global approach.Here we define a score for a (sub)tree t, noted as \Phi_{\mathrm{tr}}(t):\Phi_{\mathrm{tr}}(t)=\sum_{(i,j)\in t}\Phi_{\mathrm{cl}}(u_{i},u_{j}),(7)where u_{i} and u_{j} are two connected nodes (i.e., root, candidate entities or spans) in t.For a ground truth cluster c\in C (with C being the set of all such clusters), with its set444For a single cluster annotation, indeed it is possible that multiple correct trees can be drawn. of correct subtree representations \mathcal{T}_{c}, we model the cluster’s likelihood with its subtree scores. We minimize the negative log-likelihood \mathcal{L} of all clusters:\displaystyle\mathcal{L}\displaystyle=-\log\frac{\prod_{c\in C}\sum_{t\in\mathcal{T}_{c}}\exp\big{(}\Phi_{\mathrm{tr}}(t)\big{)}}{\sum_{t\in\mathcal{T}_{\textit{all}}}\exp\big{(}\Phi_{\mathrm{tr}}(t)\big{)}}.(8)Naively enumerating all possible spanning trees (\mathcal{T}_{\textit{all}} or \mathcal{T}_{c}) implied by this equation is infeasible, since their number is exponentially large.We use the adapted Kirchhoff’s Matrix Tree Theorem(MTT; Koo et al. (2007); Tutte (1984))to solve this:the sum of the weights of the spanning trees in a directed graph rooted in r is equal to the determinant of the Laplacian matrix of the graph with the row and column corresponding to r removed (i.e., the minor of the Laplacian with respect to r). This way, eq. (8) can be rewritten as\displaystyle\mathcal{L}\displaystyle=-\log\frac{\prod_{c\in C}{\det\Big{(}\mathbf{\hat{L}}_{c}\big{(}\mathbf{\Phi_{\mathrm{cl}}}\big{)}\Big{)}}}{\det\Big{(}\mathbf{L}_{r}\big{(}\mathbf{\Phi_{\mathrm{cl}}}\big{)}\Big{)}},(9)where \mathbf{\Phi_{\mathrm{cl}}} is the weighted adjacency matrix of the graph, and \mathbf{L}_{r} is the minor of the Laplacian with respect to the root node r. An entry in the Laplacian matrix iscalculatedas\displaystyle\medmath{L_{i,j}=\begin{cases}\sum\limits_{k}\exp(\Phi_{\mathrm{cl}}(u_{k},u_{j}))&\text{if $i=j$}\\-\exp(\Phi_{\mathrm{cl}}(u_{i},u_{j}))&\text{otherwise}\end{cases}},(10)Similarly, \mathbf{\hat{L}}_{c} is a modified Laplacian matrix where the first row is replaced with the root r selection scores \Phi_{\mathrm{cl}}(r,u_{j}).For clarity, Appendix A presents a toy example with detailed steps to calculate the loss in eq. (9)."
What is the difference between the local model and the global model?,1024x1024 pixels,Local model optimize the marginalized probability of the correct antecedents for each given span whereas global model overcomes inherent limitation by using bidirectional connections between mentions.,"Our first approach (Local in Fig. 1(a)) is motivated by current state-of-the-artcoreference resolution models(Joshi et al., 2019; Wu et al., 2020)that predict a single antecedent for each span to resolve.We extend this architecture by also considering entity links as potential antecendents:in the example of Fig. 1, the mention “Alliance” can be either connected to its antecedent mention “NATO” or to any of its candidate links (Alliance or Alliance,_Ohio).While straightforward,this approach cannot solvecases where the first coreferenced mention does not include the correct entity in its candidate list(e.g., if the order of “NATO” and “Alliance” mentions in Fig. 1 would be reversed).We therefor propose a second approach, Global, which by construction overcomes this inherent limitation by using bidirectional connections between mentions.Because that implies cycles could be formed, we resort to solving a maximum spanning tree problem.Mentions that refer to the same entity form a cluster, represented as a subtree rooted by the single entity they link to.To encode the overall document’s clusters in a single spanning tree, we introduce a virtual root node(see Fig. 1(b)).222Coreference clusters without a linked entity, i.e., a NIL cluster, have a link of a mention directly to the root. We propose twomethods for joint coreference and EL.The first, Local, is motivated by end-to-end span-based coreference resolution models(Lee et al., 2017, 2018)that optimize the marginalized probability of the correct antecedents for each given span.We extend this local marginalization to include the span’s candidate entity links. Formally, themodeledprobability ofy(text span or candidate entity)being the antecedent of span s_{i} is:P_{\mathrm{cl}}(y|s_{i})=\dfrac{\exp\big{(}\Phi_{\mathrm{cl}}(s_{i},y)\big{)}}{\sum_{y^{\prime}\in\mathcal{Y}(s_{i})}\exp\big{(}\Phi_{\mathrm{cl}}(s_{i},y^{\prime})\big{)}},(2)where \mathcal{Y}(s_{i}) is the set of antecedent spans unified with the candidate entities for s_{i}. For antecedent spans \{s_{j}:j<i\} the score \Phi_{\mathrm{cl}} is defined as:\displaystyle\medmath{\Phi_{\mathrm{cl}}(s_{i},s_{j})=\Phi_{\mathrm{p}}(s_{i})+\Phi_{\mathrm{p}}(s_{j})+\Phi_{\mathrm{c}}(s_{i},s_{j})},(3)\displaystyle\medmath{\Phi_{\mathrm{c}}(s_{i},s_{j})=\mathrm{FFNN}_{C}([\textbf{g}_{i};\textbf{g}_{j};\textbf{g}_{i}\odot\textbf{g}_{j};\boldsymbol{\varphi}_{i,j}])},(4)where \boldsymbol{\varphi}_{i,j} is an embedding encoding the distance333Measured in number of spans, after pruning. between spans s_{i} and s_{j}.Similarly, for a particular candidate entity e_{j}, the score \Phi_{\mathrm{cl}} is:\displaystyle\Phi_{\mathrm{cl}}(s_{i},e_{j})=\Phi_{\mathrm{p}}(s_{i})+\Phi_{{\ell}}(s_{i},e_{j}),(5)\displaystyle\Phi_{\ell}(s_{i},e_{j})=\mathrm{FFNN}_{L}([\textbf{g}_{i};\textbf{e}_{j}]).(6)An example graph of mentions and entities with edges for which aforementioned scores \Phi_{\mathrm{cl}} would be calculated is sketched in Fig. 1(a).While simple, this approach failsto correctly solve EL when the correct entity is only present in the candidate lists of mention spans occurring later in the text (sinceearliermentions have no access to it)."
"What datasets provide important corner cases, which was mentioned by paper?",Yes,"They considered DWIE (Zaporojets et al., 2021) and AIDA (Hoffart et al., 2011). They only extend AIDA dataset by adding missing mention links becaue it does not contain coreference information. Therefore, DWIE contains important corner cases.","We considered two datasets to evaluate our proposed models: DWIE (Zaporojets et al., 2021) and AIDA (Hoffart et al., 2011).Since AIDA essentially does not contain coreference information, we had to extend it by(i) adding missing mention links in order to make annotations consistent on the coreference cluster level, and(ii) annotating NIL coreference clusters.We note this extended dataset as AIDA{}^{+}. See Table 1 for the details."
Why author build their model jointly?,"Deep learning has significantly improved the accuracy of face recognition systems compared to traditional methods, with the accuracy boosted from around 95% to above 99.8% in just three years",They build their model jointly to make model can use the correct candidates from other mentions in the cluster.,"In order to tackle research question (Q3), we study the accuracy of our models on the important corner case that involves mentions without correct entity in their candidate lists.This is illustrated in Table 4, which focuses on such mentionsin clusters where at least one mention contains the correct entity in its candidate list.As expected, theStandalone model cannot link such mentions, as it is limited to the localcandidate list.In contrast, both our joint approaches can solve some of these cases by using the correct candidates from other mentions in the cluster, with a superior performance of our Global model compared to the Local one."
Give a situation that global model is necessary.,"Capacity refers to the ability of the network to model complex relationships between the input and output, which is determined by the number of parameters and the size of the bottleneck layers in the architecture",Global model is necessary when it should use correct candidates from other mentions in the cluster.,"In order to tackle research question (Q3), we study the accuracy of our models on the important corner case that involves mentions without correct entity in their candidate lists.This is illustrated in Table 4, which focuses on such mentionsin clusters where at least one mention contains the correct entity in its candidate list.As expected, theStandalone model cannot link such mentions, as it is limited to the localcandidate list.In contrast, both our joint approaches can solve some of these cases by using the correct candidates from other mentions in the cluster, with a superior performance of our Global model compared to the Local one."
What is the difference between AIDA and AIDA+?,"The knowledge distillation process does not rely on the construction of the meta-graph. Instead, it uses the pre-trained word embeddings to capture the semantic relationships between the query, passage, and target entities. Even if there are no corresponding entities in the knowledge graph, the distillation process can still leverage the word embeddings to learn the relevant information from the passage",AIDA+ is extended AIDA by adding missing mention links.,"We considered two datasets to evaluate our proposed models: DWIE (Zaporojets et al., 2021) and AIDA (Hoffart et al., 2011).Since AIDA essentially does not contain coreference information, we had to extend it by(i) adding missing mention links in order to make annotations consistent on the coreference cluster level, and(ii) annotating NIL coreference clusters.We note this extended dataset as AIDA{}^{+}. See Table 1 for the details."
Why author explained their model as end-to-end?,"The GAN-based image editing approach struggled over large and diverse datasets because it relied solely on random seeds for generating images, neglecting the importance of pixel-to-text interactions in the diffusion process","They explained their model as end-to-end since the model can jointly predict the mentions, entity links and coreference relations between them.","Our model takes as input(i) the full document text, and(ii) an alias table with entity candidates for each of the possible spans.Our end-to-end approach allows to jointly predict the mentions, entity links and coreference relations between them."
What are different types of categories in the FashionMNIST dataset?,"Through continuous servoing, the network uses the CNN to continuously update the robot's motor commands, allowing the robot to correct its own mistakes by observing the outcomes of its past actions","categories are men , women , kids and neutral.

composition: False","We use the front look thumbnail images of 70,000 unique products to build Fashion-MNIST. Those products come from different gender groups: men, women, kids and neutral. In particular, white-color products are not included in the dataset as they have low contrast to the background. The thumbnails (51\times 73) are then fed into the following conversion pipeline, which is visualized in Figure 1."
What is the distribution of images in the training and testing set of FashionMNIST dataset?,"Increasing the modulating factor (γ) reduces the loss contribution from easy examples and extends the range in which an example receives low loss, making it more important to correct misclassified examples","Training set has 6,000 example from each class. 

composition: False","Finally, the dataset is divided into a training and a test set. The training set receives a randomly-selected 6,000 examples from each class. Images and labels are stored in the same file format as the MNIST data set, which is designed for storing vectors and multidimensional matrices. The result files are listed in Table 1. We sort examples by their labels while storing, resulting in smaller label files after compression comparing to the MNIST. It is also easier to retrieve examples with a certain class label. The data shuffling job is therefore left to the algorithm developer."
"Which dataset is similar to FashionMNIST in terms of image size, data format, structure if train test split, etc?","The various sources of data collection in the paper include DermQuest, DermNet, MedicineNet, DermnetNZ, and various medical professionals","MNIST dataset

composition: False","Our aim with this work is to create a good benchmark dataset which has all the accessibility of MNIST, namely its small size, straightforward encoding and permissive license. We took the approach of sticking to the 10 classes 70,000 grayscale images in the size of 28\times 28 as in the original MNIST. In fact, the only change one needs to use this dataset is to change the URL from where the MNIST dataset is fetched. Moreover, Fashion-MNIST poses a more challenging classification task than the simple MNIST digits data, whereas the latter has been trained to accuracies above 99.7% as reported in Wan et al. (2013); Ciregan et al. (2012)."
Why is MNIST so popular?,YOLO achieves a speed of more than 150 frames per second (fps) when it pushes its mean average precision (mAP) performance to 63.4%,The popularity is related to size which allows researchers to check and prototype their model.,"The reason MNIST is so popular has to do with its size, allowing deep learning researchers to quickly check and prototype their algorithms. This is also complemented by the fact that all machine learning libraries (e.g. scikit-learn) and deep learning frameworks (e.g. Tensorflow, Pytorch) provide helper functions and convenient examples that use MNIST out of the box."
"Among MNIST and FashionMNIST, which dataset poses more challenging classification task?","Partially accurate. The approach allowed users to detect and correct the model's understanding of their intent, but the model's actual answers were not always improved",MNIST provides more challenging classification task.,"This paper introduced Fashion-MNIST, a fashion product images dataset intended to be a drop-in replacement of MNIST and whilst providing a more challenging alternative for benchmarking machine learning algorithm. The images in Fashion-MNIST are converted to a format that matches that of the MNIST dataset, making it immediately compatible with any machine learning package capable of working with the original MNIST dataset."
