question,answer,correct_answer,context
Is the \delta a hyper-parameter?,Inception Score (IS) as a measure of fidelity,"Yes it's hyper-parameter, as it's within fixed range during training noting that it's fixed within this range during inference.","Recall from equation 6 that in an LSTM stackwith residual connections there are two accumulators: \mathbf{c}_{t}^{i}along the time axis and \mathbf{x}_{t}^{i} along the depth axis. Intheory, both of the accumulators are unbounded, but in practice, wenoticed their values remain quite small. For quantized inference, weexplicitly constrain the values of these accumulators to be within[-\delta, \delta] to guarantee a certain range that can be used forquantization later. The forward computation of an LSTM stack withresidual connections is modified to the following: \begin{split}\mathbf{v_{t}}&=\mathbf{W_{s}}*\mathbf{y_{t}}\\\mathbf{v_{t}^{\prime}}&=\max(-\gamma,\min(\gamma,\mathbf{v_{t}}))\\\mathbf{p_{t}}&=softmax(\mathbf{v_{t}^{\prime}})\end{split}(13)In equation 13, \mathbf{W_{s}} is the weightmatrix for the linear layer, which has the same number of rows as thenumber of symbols in the target vocabulary with each row correspondingto one unique target symbol. \mathbf{v} represents the raw logits, which arefirst clipped to be between -\gamma and \gamma and then normalizedinto a probability vector \mathbf{p}. Input \mathbf{y_{t}} isguaranteed to be between -\delta and \delta due to thequantization scheme we applied to the decoder RNN. The clipping range\gamma for the logits \mathbf{v} is determined empirically, and inour case, it is set to 25. In quantized inference, the weight matrix\mathbf{W_{s}} is quantized into 8 bits as inequation 12, and the matrix multiplication is done using8 bit arithmetic. The calculations within the softmax function and theattention model are not quantized during inference. It is worth emphasizing that during training of the model we use full-precisionfloating point numbers. The only constraints we add to the modelduring training are the clipping of the RNN accumulator values into[-\delta,\delta] and softmax logits into[-\gamma,\gamma]. \gamma is fixed to be at 25.0, while thevalue for \delta is gradually annealed from a generous bound of\delta=8.0 at the beginning of training, to a rather stringent boundof \delta=1.0 towards the end of training. At inference time,\delta is fixed at 1.0. Those additional constraints do not degrademodel convergence nor the decoding quality of the model when it hasconverged. In Figure 4, we compare the lossvs. steps for an unconstrained model (the blue curve) and a constrainedmodel (the red curve) on WMT’14 English-to-French. We can see thatthe loss for the constrained model is slightly better, possibly due toregularization roles those constraints play."
Why are the constraint value of δ and γ separated?,"Channel shuffle operation.

Multiple group convolutional layers can work efficiently without weakening representation because the channel shuffle operation enables cross-group information flow, allowing the model to capture more information and maintain representation","Yes they are separated, as [-δ,δ] is a clipping range to input yt while [−γ, γ] is the clipping range for raw logits.","\begin{split}\mathbf{v_{t}}&=\mathbf{W_{s}}*\mathbf{y_{t}}\\\mathbf{v_{t}^{\prime}}&=\max(-\gamma,\min(\gamma,\mathbf{v_{t}}))\\\mathbf{p_{t}}&=softmax(\mathbf{v_{t}^{\prime}})\end{split}(13)In equation 13, \mathbf{W_{s}} is the weightmatrix for the linear layer, which has the same number of rows as thenumber of symbols in the target vocabulary with each row correspondingto one unique target symbol. \mathbf{v} represents the raw logits, which arefirst clipped to be between -\gamma and \gamma and then normalizedinto a probability vector \mathbf{p}. Input \mathbf{y_{t}} isguaranteed to be between -\delta and \delta due to thequantization scheme we applied to the decoder RNN. The clipping range\gamma for the logits \mathbf{v} is determined empirically, and inour case, it is set to 25. In quantized inference, the weight matrix\mathbf{W_{s}} is quantized into 8 bits as inequation 12, and the matrix multiplication is done using8 bit arithmetic. The calculations within the softmax function and theattention model are not quantized during inference. It is worth emphasizing that during training of the model we use full-precisionfloating point numbers. The only constraints we add to the modelduring training are the clipping of the RNN accumulator values into[-\delta,\delta] and softmax logits into[-\gamma,\gamma]. \gamma is fixed to be at 25.0, while thevalue for \delta is gradually annealed from a generous bound of\delta=8.0 at the beginning of training, to a rather stringent boundof \delta=1.0 towards the end of training. At inference time,\delta is fixed at 1.0. Those additional constraints do not degrademodel convergence nor the decoding quality of the model when it hasconverged. In Figure 4, we compare the lossvs. steps for an unconstrained model (the blue curve) and a constrainedmodel (the red curve) on WMT’14 English-to-French. We can see thatthe loss for the constrained model is slightly better, possibly due toregularization roles those constraints play."
What kinds of domain knowledge do the authors refer to in this context?,"To isolate the effect of explicit planning on the generated outputs. By using randomly sampled z(str) to measure explicit planning, the authors can control for the influence of the structural attributes on the generated outputs, allowing them to isolate the effect of explicit planning on the outputs. On the other hand, using z(pln) from zero explicit planning to measure structural attributes ensures that the structural attributes are not influenced by the explicit planning process, allowing for a more accurate measurement of the structural attributes","Authors refer to translation domain knowledge, as they refer to Luong's et al. (2015) Neural Machine Translation as it reads through all source words until the end of a sentence, then starts translation by emitting one target word at a time as illustrated in Figure 1.","Neural Machine Translation (NMT) achieved state-of-the-art performances in large-scale translation tasks such as from English to French (Luong et al., 2015) and English to German (Jean et al., 2015). NMT is appealing since it requires minimal domain knowledge and is conceptually simple. The model by Luong et al. (2015) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1."
How does the size of a large neural network for NMT affect memory?,To ensure diverse transformations and minimize redundancy between local transformations,"Large Neural network NMT has the ability to generalize well to very long word sequences so that it doesn't have to store gigantic phrase tables and language models, which results to having a small memory footprint.","Neural Machine Translation (NMT) achieved state-of-the-art performances inlarge-scale translation tasks such as from English to French [Luong et al., 2015] andEnglish to German [Jean et al., 2015]. NMT is appealing since it requires minimaldomain knowledge and is conceptually simple. The model by ?) reads through all the source words until the end-of-sentence symbol <eos> is reached. It then starts emitting one target word at a time, as illustrated in Figure 1. NMT is often a large neural network that is trained in an end-to-end fashion and has the ability to generalize well to very long word sequences. This means the model does not have to explicitly store gigantic phrase tables and language models as in the case of standard MT; hence, NMT has a small memory footprint. Lastly, implementing NMT decoders is easy unlike the highly intricate decoders in standard MT [Koehn et al., 2003]."
What are the pros and cons of a global approach and a local approach?,"An example of a ""network-centric"" approach is synthesizing inputs that cause higher activations for particular units in a network, as done by Erhan et al. (2009) and others","A drawback of the global attention is it had to attend to all words on the source side for each target word, which is expensive and potentially will render it impractical to translate longer sequences, and despite that global attention gives a significant boost of +2.8 BLEU making it better than the base attention system, but the local approach gave further improvement of +0.9 BLEU on top of the global attention model. Also the local approach achieved lower AERs. Not to mention that the local approach is simpler, easier to implement and train, and computationally less expensive. as it focus only on a small subset of the source positions per target word.","The global attention has a drawback that it has to attend to all words on thesource side for each target word, which is expensive and can potentially render it impractical totranslate longer sequences, e.g., paragraphs or documents.To address this deficiency, we propose a local attentional mechanism thatchooses to focus only on a small subset of the source positions per target word. Our local attention mechanism selectively focuses on a small window ofcontext and is differentiable. This approach has an advantage of avoiding the expensive computation incurred inthe soft attention and at the same time, is easier to train than the hardattention approach.In concrete details, the model first generates an aligned position p_{t} for each target word at time t. Thecontext vector \mbox{\boldmath{$c$}}_{t} is then derived as a weighted average over the set of source hidden states within the window [p_{t}-D,p_{t}+D]; D isempirically selected.888If the window crosses the sentence boundaries, wesimply ignore the outside part and consider words in the window. Unlike the global approach, the local alignment vector \mbox{\boldmath{$a$}}_{t} is now fixed-dimensional, i.e., \in\mathbb{R}^{2D+1}. We consider two variants of the model as below. In this work, we design, with simplicity and effectiveness in mind, two noveltypes of attention-based models: a global approach in which all sourcewords are attended and a local one whereby only a subset of source wordsare considered at a time. The former approach resembles the model of[Bahdanau et al., 2015] but is simpler architecturally. The latter can be viewed as aninteresting blend between the hard and soft attention modelsproposed in [Xu et al., 2015]: it is computationally less expensive than theglobal model or the soft attention; at the same time, unlike the hard attention,the local attention isdifferentiable almost everywhere, making it easier to implement andtrain.222There is a recent work by ?), which is verysimilar to our local attention and applied to the image generation task.However, as we detail later, our model is much simpler and can achieve good performance for NMT. Besides, we also examine variousalignment functions for our attention-based models. As shown in Table 1, we achieve progressive improvements when(a) reversing the source sentence, +1.3 BLEU, as proposed in [Sutskever et al., 2014]and (b) using dropout, +1.4 BLEU. On top of that, (c) the globalattention approach gives a significant boost of +2.8 BLEU, makingour model slightly better than the base attentional system of?) (row RNNSearch). When (d) using the input-feedingapproach, we seize another notable gain of +1.3 BLEU and outperform theirsystem. The local attention model with predictive alignments (row local-p) provesto be even better, giving us a further improvement of +0.9 BLEU on top of theglobal attention model.It is interesting to observe the trend previously reported in[Luong et al., 2015] that perplexity strongly correlates with translation quality.In total, we achieve a significant gain of5.0 BLEU points over the non-attentional baseline, which already includesknown techniques such as source reversing and dropout. We also found that the alignments produced by local attention models achievelower AERs than those of the global one. The AER obtained by the ensemble, whilegood, is not better than the local-m AER, suggesting the well-knownobservation that AER and translation scores are not well correlated [Fraser and Marcu, 2007].We show some alignment visualizations in Appendix A."
How are hard attention models different from soft attention models?,MSG is computationally more expensive than MRG,"Soft attention model's weights are placed ""softly"" over all patches in the source image. while Hard attention models selects one patch of the image to attend at a time. it's also, none-differentiable, requires more complicated techniques and less expensive at inference time.","This model takes inspiration from the tradeoff between the soft and hard attentional models proposed by ?) to tackle the image captiongeneration task. In their work, soft attention refers to the global attentionapproach in which weights are placed “softly” over all patches in the sourceimage. The hard attention, on the other hand, selects one patchof the image to attend to at a time. While less expensive at inference time, thehard attention model is non-differentiable and requires more complicatedtechniques such as variance reduction or reinforcement learning to train."
What kinds of alignment functions are used for their attention-based models?,"AP, AP{}_{50}, AP{}_{75}, and AP{}_{S}, AP{}_{M}, AP{}_{L}","Authors used location, dot, general and concat alignment functions in their experiments.","We examine different attention models (global, local-m, local-p) and differentalignment functions (location, dot, general, concat) as described inSection 3. Due to limitedresources, we cannot run all the possible combinations.However, results in Table 4 do give us some idea aboutdifferent choices.The location-based function does not learn goodalignments: the global (location) model can only obtain a smallgain when performing unknown word replacement compared to using other alignmentfunctions.141414There is a subtle difference in how we retrieve alignmentsfor the different alignment functions. At time step t in which we receivey_{t-1} as input and then compute \mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$a$}}_{t},\mbox{\boldmath{$c$}}_{t}, and \mbox{\boldmath{$\tilde{h}$}}_{t} beforepredicting y_{t}, the alignment vector \mbox{\boldmath{$a$}}_{t} is used as alignmentweights for (a) the predicted word y_{t} in the location-basedalignment functions and (b) the input word y_{t-1} in the content-basedfunctions.For content-based functions, our implementation concat does not yield good performancesand more analysis should be done to understand thereason.151515With concat, the perplexities achieved by different models are 6.7 (global), 7.1(local-m), and 7.1 (local-p). Such high perplexities could be due to the factthat we simplify the matrix W_{a} to set the part that corresponds to \mbox{\boldmath{$\bar{h}$}}_{s}to identity. It is interesting to observe that dot workswell for the global attention and general is better for the localattention.Among the different models, the local attention model with predictive alignments (local-p) is best, both in terms of perplexities and BLEU."
What kinds of RNN architectures were used for the decoder in various prior research?,"A sample that might be assigned to the dustbin class could be an image that is difficult to classify into any of the other classes, such as an image of a mushroom that is not clearly one of the specific types of mushrooms that the specialist models are trained on","Previous work included vanilla RNN, LSTM and GRU in the decoder architecture. as Sutskever and Luon stacked multiple layers of RNN with LSTM hidden unit for the decoder and encoder. and Cho, Bahdanau and Jeal all adopted GRU.","Common to these two types of models is the fact that at each time step t in the decoding phase, both approaches first take as input the hidden state \mbox{\boldmath{$h$}}_{t} at the top layer of a stacking LSTM. The goal is then to derive a context vector \mbox{\boldmath{$c$}}_{t} that captures relevant source-side information to help predict the current target word y_{t}. While these models differ in how the context vector \mbox{\boldmath{$c$}}_{t} is derived, they share the same subsequent steps. ?) used an RNN with the standard hidden unit for the decoder and aconvolutional neural network for encoding the source sentence representation. Onthe other hand, both ?) and ?) stackedmultiple layers of an RNN with a Long Short-Term Memory (LSTM) hidden unit forboth the encoder and the decoder. ?), ?), and?) all adopted a different version of the RNN with anLSTM-inspired hidden unit, the gated recurrent unit (GRU), for bothcomponents.444They all used a single RNN layer except for the latter twoworks which utilized a bidirectional RNN for the encoder. In more detail, one can parameterize the probability of decoding each word y_{j} as:p\left(y_{j}|y_{<j},\mbox{\boldmath{$s$}}\right)=\operatorname{softmax}\left(g\left(\mbox{\boldmath{$h$}}_{j}\right)\right)(2)with g being the transformation function that outputs a vocabulary-sizedvector.555One can provide g with other inputs such as the currentlypredicted word y_{j} as in [Bahdanau et al., 2015]. Here, \mbox{\boldmath{$h$}}_{j} is the RNN hiddenunit, abstractly computed as:\mbox{\boldmath{$h$}}_{j}=f(\mbox{\boldmath{$h$}}_{j-1},\mbox{\boldmath{$s$}}),(3)where f computes the current hidden state given the previous hidden state andcan be either a vanilla RNN unit, a GRU, or an LSTM unit. In [Kalchbrenner and Blunsom, 2013, Sutskever et al., 2014, Cho et al., 2014, Luong et al., 2015], the source representation s is only used once to initialize the decoder hidden state. On the other hand, in [Bahdanau et al., 2015, Jean et al., 2015] and this work, s, in fact, implies a set of source hidden states which are consulted throughout the entire course of the translation process. Such an approach is referred to as an attention mechanism, which we will discuss next."
How are the RNN architectures used for the decoder in prior research different from each other?,The expressive transformer structure and the pretrain-then-finetune paradigm of large-scale pre-trained language models (PLMs) have contributed to their remarkable success on the passage re-ranking task,"Kalchbrenner and Blunsom used a standard RNN hidden unit for the decoder. and Sutskever and Luong stacked multiple layers of RNN with Long Short-Term Memory (LSTM) hidden unit for the encoder and the decoder. on the other hand, Cho, Bahdanau and Jean all adopted different RNN architecture, with Gated Recurrent Unit (GRU) for encoder and decoder.","?) used an RNN with the standard hidden unit for the decoder and aconvolutional neural network for encoding the source sentence representation. Onthe other hand, both ?) and ?) stackedmultiple layers of an RNN with a Long Short-Term Memory (LSTM) hidden unit forboth the encoder and the decoder. ?), ?), and?) all adopted a different version of the RNN with anLSTM-inspired hidden unit, the gated recurrent unit (GRU), for bothcomponents.444They all used a single RNN layer except for the latter twoworks which utilized a bidirectional RNN for the encoder. In more detail, one can parameterize the probability of decoding each word y_{j} as:p\left(y_{j}|y_{<j},\mbox{\boldmath{$s$}}\right)=\operatorname{softmax}\left(g\left(\mbox{\boldmath{$h$}}_{j}\right)\right)(2)with g being the transformation function that outputs a vocabulary-sizedvector.555One can provide g with other inputs such as the currentlypredicted word y_{j} as in [Bahdanau et al., 2015]. Here, \mbox{\boldmath{$h$}}_{j} is the RNN hiddenunit, abstractly computed as:\mbox{\boldmath{$h$}}_{j}=f(\mbox{\boldmath{$h$}}_{j-1},\mbox{\boldmath{$s$}}),(3)where f computes the current hidden state given the previous hidden state andcan be either a vanilla RNN unit, a GRU, or an LSTM unit. In [Kalchbrenner and Blunsom, 2013, Sutskever et al., 2014, Cho et al., 2014, Luong et al., 2015], the source representation s is only used once to initialize the decoder hidden state. On the other hand, in [Bahdanau et al., 2015, Jean et al., 2015] and this work, s, in fact, implies a set of source hidden states which are consulted throughout the entire course of the translation process. Such an approach is referred to as an attention mechanism, which we will discuss next."
"In this sentence, do the current target state and all source states mean hidden states of the encoder?",Yes,"A possible answer is yes as a global attention model considers all the hidden states of the encoder when deriving the context. However, it's not clear which sentence the questioner refers to and the question needs more elaboration.","The idea of a global attentional model is to consider all the hidden states ofthe encoder when deriving the context vector c_{t}. In this model type, avariable-length alignment vector \mbox{\boldmath{$a$}}_{t}, whose size equals the number of timesteps on the source side, is derived by comparing the current target hiddenstate \mbox{\boldmath{$h$}}_{t} with each source hidden state \mbox{\boldmath{$\bar{h}$}}_{s}:\displaystyle\mbox{\boldmath{$a$}}_{t}(s)\displaystyle=\operatorname{align}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})(7)\displaystyle=\frac{\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\right)}{\sum_{s^{\prime}}\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s^{\prime}})\right)}Here, \operatorname{score} is referred as a content-based function for which we consider three differentalternatives:\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\!=\!\begin{cases}\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it dot}}\\\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$W_{a}$}}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it general}}\\\mbox{\boldmath{$v$}}_{a}^{\top}\tanh\left(\mbox{\boldmath{$W_{a}$}}[\mbox{\boldmath{$h$}}_{t};\mbox{\boldmath{$\bar{h}$}}_{s}]\right)&\mbox{{\it concat}}\end{cases} Figure 2: Global attentional model – at each time step t, the model infers a variable-length alignment weight vector at based on the current target state ht and all source states h¯s. A global context vector ct is then computed as the weighted average, according to at, over all the source states. Figure 3: Local attention model – the model first predicts a single aligned position pt for the current target word. A window centered around the source position pt is then used to compute a context vector ct, a weighted average of the source hidden states in the window. The weights at are inferred from the current target state ht and those source states h¯s in the window."
"What does ""variable-length alignment"" mean?","Information highways refer to the pathways in a network that allow for easy flow of information across many layers, inspired by Long Short Term Memory (LSTM) recurrent networks","a variable-length alignment is a vector derived by comparing the current target hidden state with each source hidden state, and the size of it equals the number of time steps on the source side as it's explained in Figure 2.","The idea of a global attentional model is to consider all the hidden states ofthe encoder when deriving the context vector c_{t}. In this model type, avariable-length alignment vector \mbox{\boldmath{$a$}}_{t}, whose size equals the number of timesteps on the source side, is derived by comparing the current target hiddenstate \mbox{\boldmath{$h$}}_{t} with each source hidden state \mbox{\boldmath{$\bar{h}$}}_{s}:\displaystyle\mbox{\boldmath{$a$}}_{t}(s)\displaystyle=\operatorname{align}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})(7)\displaystyle=\frac{\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\right)}{\sum_{s^{\prime}}\exp\left(\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s^{\prime}})\right)}Here, \operatorname{score} is referred as a content-based function for which we consider three differentalternatives:\operatorname{score}(\mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$\bar{h}$}}_{s})\!=\!\begin{cases}\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it dot}}\\\mbox{\boldmath{$h$}}_{t}^{\top}\mbox{\boldmath{$W_{a}$}}\mbox{\boldmath{$\bar{h}$}}_{s}&\mbox{{\it general}}\\\mbox{\boldmath{$v$}}_{a}^{\top}\tanh\left(\mbox{\boldmath{$W_{a}$}}[\mbox{\boldmath{$h$}}_{t};\mbox{\boldmath{$\bar{h}$}}_{s}]\right)&\mbox{{\it concat}}\end{cases} Figure 2: Global attentional model – at each time step t, the model infers a variable-length alignment weight vector at based on the current target state ht and all source states h¯s. A global context vector ct is then computed as the weighted average, according to at, over all the source states."
Why did the authors use hidden states only at the top LSTM layers in both the encoder and decoder?,GLUE is a benchmark for BERT,To derive a context vector that captures relevant source-side informations that help predicting the current target word.,"Common to these two types of models is the fact that at each time step t in the decoding phase, both approaches first take as input the hidden state \mbox{\boldmath{$h$}}_{t} at the top layer of a stacking LSTM. The goal is then to derive a context vector \mbox{\boldmath{$c$}}_{t} that captures relevant source-side information to help predict the current target word y_{t}. While these models differ in how the context vector \mbox{\boldmath{$c$}}_{t} is derived, they share the same subsequent steps."
"Why is the ""hard attention model"" non-differentiable?",k=3,"Hard attention model selects patch of the image to attend at a time, however this question can't be fully answered within this paper limit.","This model takes inspiration from the tradeoff between the soft and hard attentional models proposed by ?) to tackle the image captiongeneration task. In their work, soft attention refers to the global attentionapproach in which weights are placed “softly” over all patches in the sourceimage. The hard attention, on the other hand, selects one patchof the image to attend to at a time. While less expensive at inference time, thehard attention model is non-differentiable and requires more complicatedtechniques such as variance reduction or reinforcement learning to train."
How is the tokenized BLEU different from the NIST BLEU?,52.7%,A tonkenized BLEU: all text are tokenized with tonkenizer.perl and BLEU scores are computed with multi-bleu.per. While NSIT BLEU: with meteval-v13a script as per WMT guideline. However a full detailed answer can't be answer within this paper limit.,"We evaluate the effectiveness of our models on the WMT translation tasks betweenEnglish and German in both directions. newstest2013 (3000 sentences) is used asa development set to select our hyperparameters. Translation performances arereported in case-sensitive BLEU [Papineni et al., 2002] on newstest2014 (2737 sentences) andnewstest2015 (2169 sentences). Following [Luong et al., 2015], we reporttranslation quality using two types of BLEU: (a) tokenized121212All texts are tokenized with tokenizer.perl and BLEUscores are computed with multi-bleu.perl. BLEU to be comparable withexisting NMT work and (b) NIST131313With the mteval-v13ascript as per WMT guideline. BLEU to be comparablewith WMT results."
What was the size of the model?,Top-5 error,"The author's model consists of 4 layers of LSTM, each has 100 cells, and 1000-dimensional embeddings. However, the authors didn't mention the number of parameters in their model to give more accurate answer.","When training our NMT systems, following [Bahdanau et al., 2015, Jean et al., 2015], we filter outsentence pairs whose lengths exceed 50 words and shuffle mini-batches as weproceed. Our stacking LSTM models have 4 layers, each with 1000 cells, and1000-dimensional embeddings. We follow [Sutskever et al., 2014, Luong et al., 2015] in trainingNMT with similar settings: (a) our parameters are uniformly initialized in[-0.1,0.1], (b) we train for 10 epochs using plain SGD, (c) a simple learningrate schedule is employed – we start with a learning rate of 1; after 5 epochs,we begin to halve the learning rate every epoch, (d) our mini-batch size is 128,and (e) the normalized gradient is rescaled whenever its norm exceeds 5.Additionally, we also use dropout with probability 0.2 for our LSTMs as suggested by[Zaremba et al., 2015]. For dropout models, we train for 12 epochs and start halvingthe learning rate after 8 epochs. For localattention models, we empirically set the window size D=10."
"In Figure 6, why are the BLEU scores fluctuating when the sentence lengths are less than 40?","The authors did not evaluate the actual quality, meaning, or usefulness of the generated instructions because they were focused on evaluating the models' ability to follow instructions, rather than the quality of the instructions themselves","Author's model quality is more effective in handling long sentence as the quality doesn't degrade as sentences become longer. Noting that in Figure 6, only one more measurement point was taken after 40. Despite that, a full answer can't be given within the available information.","We follow [Bahdanau et al., 2015] to group sentences of similar lengths together andcompute a BLEU score per group. Figure 6 shows thatour attentional models are more effective than the non-attentional one inhandling long sentences: the quality does not degrade as sentencesbecome longer. Our best model (the blue + curve) outperforms all other systems in all length buckets."
Why did the dot scoring function perform well for global attention while the general scoring function performed well for local attention? ,"Sure! Here's the answer to your question based on the given context:

200.

Explanation: With a beam size of 20, the authors generated 20 sentences at each time step until timestep t=10, resulting in a total of 200 sentences","Authors thinks it's interesting to observe that ""dot"" works well for the global attention and ""general"" is better for local attention, however this question can't be answered within this paper information.","We examine different attention models (global, local-m, local-p) and differentalignment functions (location, dot, general, concat) as described inSection 3. Due to limitedresources, we cannot run all the possible combinations.However, results in Table 4 do give us some idea aboutdifferent choices.The location-based function does not learn goodalignments: the global (location) model can only obtain a smallgain when performing unknown word replacement compared to using other alignmentfunctions.141414There is a subtle difference in how we retrieve alignmentsfor the different alignment functions. At time step t in which we receivey_{t-1} as input and then compute \mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$a$}}_{t},\mbox{\boldmath{$c$}}_{t}, and \mbox{\boldmath{$\tilde{h}$}}_{t} beforepredicting y_{t}, the alignment vector \mbox{\boldmath{$a$}}_{t} is used as alignmentweights for (a) the predicted word y_{t} in the location-basedalignment functions and (b) the input word y_{t-1} in the content-basedfunctions.For content-based functions, our implementation concat does not yield good performancesand more analysis should be done to understand thereason.151515With concat, the perplexities achieved by different models are 6.7 (global), 7.1(local-m), and 7.1 (local-p). Such high perplexities could be due to the factthat we simplify the matrix W_{a} to set the part that corresponds to \mbox{\boldmath{$\bar{h}$}}_{s}to identity. It is interesting to observe that dot workswell for the global attention and general is better for the localattention.Among the different models, the local attention model with predictive alignments (local-p) is best, both in terms of perplexities and BLEU."
How did the attention method contribute to word alignments?,To simplify the finetuning process,"Local attention method had sharper alignment weights than global one, that's due to it's designed to only focus on a subset of words each time.",We visualize the alignment weights produced by our different attention models in Figure 7. The visualization of the local attention model is much sharper than that of the global one. This contrast matches our expectation that local attention is designed to only focus on a subset of words each time.
"Alignment functions refer to 4 calculation methods (dot, general, concat, location) for obtaining an alignment vector. Is that true?",To exceed the state-of-the-art in semantic segmentation without requiring additional machinery,"Yes, alignment functions refer to 4 distinct functions which are ""Location, dot, general and concat"".","We examine different attention models (global, local-m, local-p) and differentalignment functions (location, dot, general, concat) as described inSection 3. Due to limitedresources, we cannot run all the possible combinations.However, results in Table 4 do give us some idea aboutdifferent choices.The location-based function does not learn goodalignments: the global (location) model can only obtain a smallgain when performing unknown word replacement compared to using other alignmentfunctions.141414There is a subtle difference in how we retrieve alignmentsfor the different alignment functions. At time step t in which we receivey_{t-1} as input and then compute \mbox{\boldmath{$h$}}_{t},\mbox{\boldmath{$a$}}_{t},\mbox{\boldmath{$c$}}_{t}, and \mbox{\boldmath{$\tilde{h}$}}_{t} beforepredicting y_{t}, the alignment vector \mbox{\boldmath{$a$}}_{t} is used as alignmentweights for (a) the predicted word y_{t} in the location-basedalignment functions and (b) the input word y_{t-1} in the content-basedfunctions.For content-based functions, our implementation concat does not yield good performancesand more analysis should be done to understand thereason.151515With concat, the perplexities achieved by different models are 6.7 (global), 7.1(local-m), and 7.1 (local-p). Such high perplexities could be due to the factthat we simplify the matrix W_{a} to set the part that corresponds to \mbox{\boldmath{$\bar{h}$}}_{s}to identity. It is interesting to observe that dot workswell for the global attention and general is better for the localattention.Among the different models, the local attention model with predictive alignments (local-p) is best, both in terms of perplexities and BLEU."
"The cited papers are in the NLP domain, while this paper targets Text-to-Video generation. How did the authors have confidence in adopting unsupervised learning techniques that could perform well in this Text-to-Video domain as well?","Sure! Here's my answer:

Receptive fields refer to the regions in the input image that a particular neuron in a higher layer of a convnet is sensitive to, and can respond to changes in those regions",Unsupervised learning has long had great success in advancing the field of natural language processing (NLP) and this paper is inspired by these success. Thus the authors have confidence in adopting unsupervised learning in Text-to-Video domain.,"The Internet has fueled collecting billions of (alt-text, image) pairs from HTML pages (Schuhmann et al., 2022), enabling the recent breakthroughs in Text-to-Image (T2I) modeling. However, replicating this success for videos is limited since a similarly sized (text, video) dataset cannot be easily collected.It would be wasteful to train Text-to-Video (T2V) models from scratchwhen there already exist models that can generate images.Moreover, unsupervised learning enables networks to learn from orders of magnitude more data. This large quantity of data is important to learn representations of more subtle, less common concepts in the world. Unsupervised learning has long had great success in advancing the field of natural language processing (NLP) (Liu et al., 2019a; Brown et al., 2020). Models pre-trained this way yield considerably higher performance than when solely trained in a supervised manner. Inspired by these motivations, we propose Make-A-Video. Make-A-Video leverages T2I models to learn the correspondence between text and the visual world, and uses unsupervised learning on unlabeled (unpaired) video data, to learn realistic motion. Together, Make-A-Video generates videos from text without leveraging paired text-video data. Clearly, text describing images does not capture the entirety of phenomena observed in videos. That said, one can often infer actions and events from static images (e.g. a woman drinking coffee, or an elephant kicking a football) as done in image-based action recognition systems (Girish et al., 2020). Moreover, even without text descriptions, unsupervised videos are sufficient to learn how different entities in the world move and interact (e.g. the motion of waves at the beach, or of an elephant’s trunk). As a result, a model that has only seen text describing images is surprisingly effective at generating short videos, as demonstrated by our temporal diffusion-based method. Make-A-Video sets the new state-of-the-art in T2V generation."
